Date,Price,Open,High,Low,Vol.,Change %
30-Oct-15,"19,083.10","18,924.31","19,202.34","18,784.69",1.82B,0.78%
02-Nov-15,"18,683.24","18,827.11","18,861.11","18,641.22",1.48B,-2.10%
04-Nov-15,"18,926.91","18,941.32","19,151.89","18,926.91",1.57B,1.30%
05-Nov-15,"19,116.41","19,029.44","19,167.09","18,995.96",1.46B,1.00%
06-Nov-15,"19,265.60","19,194.34","19,294.15","19,164.86",1.21B,0.78%
09-Nov-15,"19,642.74","19,411.51","19,684.41","19,389.74",1.69B,1.96%
10-Nov-15,"19,671.26","19,457.05","19,674.05","19,457.05",1.31B,0.15%
11-Nov-15,"19,691.39","19,602.01","19,724.12","19,602.01",1.31B,0.10%
12-Nov-15,"19,697.77","19,644.65","19,725.83","19,597.99",1.23B,0.03%
13-Nov-15,"19,596.91","19,495.26","19,601.49","19,388.91",1.39B,-0.51%
16-Nov-15,"19,393.69","19,263.96","19,451.09","19,252.04",1.12B,-1.04%
17-Nov-15,"19,630.63","19,641.67","19,726.01","19,628.84",1.45B,1.22%
18-Nov-15,"19,649.18","19,771.86","19,840.00","19,643.97",1.27B,0.09%
19-Nov-15,"19,859.81","19,851.24","19,959.06","19,761.56",1.40B,1.07%
20-Nov-15,"19,879.81","19,800.20","19,879.81","19,715.74",1.10B,0.10%
24-Nov-15,"19,924.89","19,875.99","19,954.00","19,834.76",1.34B,0.23%
25-Nov-15,"19,847.58","19,856.84","19,871.75","19,786.53",1.33B,-0.39%
26-Nov-15,"19,944.41","19,929.97","19,992.44","19,926.10",1.17B,0.49%
27-Nov-15,"19,883.94","19,994.05","19,994.05","19,831.25",1.15B,-0.30%
30-Nov-15,"19,747.47","19,857.38","19,867.95","19,707.67",1.61B,-0.69%
01-Dec-15,"20,012.40","19,799.08","20,012.40","19,797.55",1.33B,1.34%
02-Dec-15,"19,938.13","19,957.50","20,002.12","19,926.22",1.16B,-0.37%
03-Dec-15,"19,939.90","19,894.63","19,967.88","19,862.74",1.16B,0.01%
04-Dec-15,"19,504.48","19,616.52","19,660.90","19,444.54",1.34B,-2.18%
07-Dec-15,"19,698.15","19,710.39","19,811.51","19,677.21",1.03B,0.99%
08-Dec-15,"19,492.60","19,689.87","19,764.21","19,475.28",1.24B,-1.04%
09-Dec-15,"19,301.07","19,391.50","19,475.40","19,260.12",1.30B,-0.98%
10-Dec-15,"19,046.55","19,070.02","19,125.06","19,025.78",1.20B,-1.32%
11-Dec-15,"19,230.48","19,020.75","19,282.21","19,020.75",1.66B,0.97%
14-Dec-15,"18,883.42","18,887.09","18,911.78","18,611.09",1.34B,-1.80%
15-Dec-15,"18,565.90","18,869.04","18,897.87","18,562.51",1.38B,-1.68%
16-Dec-15,"19,049.91","18,868.20","19,054.89","18,859.11",1.44B,2.61%
17-Dec-15,"19,353.56","19,364.57","19,507.17","19,325.15",1.53B,1.59%
18-Dec-15,"18,986.80","19,320.46","19,869.08","18,982.25",1.99B,-1.90%
21-Dec-15,"18,916.02","18,845.50","18,979.83","18,651.13",1.55B,-0.37%
22-Dec-15,"18,886.70","18,927.86","18,943.46","18,824.65",1.36B,-0.16%
24-Dec-15,"18,789.69","19,071.41","19,071.41","18,780.94",1.30B,-0.51%
25-Dec-15,"18,769.06","18,823.91","18,870.70","18,744.44",1.23B,-0.11%
28-Dec-15,"18,873.35","18,838.91","18,922.90","18,764.54",1.02B,0.56%
29-Dec-15,"18,982.23","18,843.39","18,991.01","18,783.36",968.57M,0.58%
30-Dec-15,"19,033.71","19,070.83","19,113.18","19,017.27",1.00B,0.27%
04-Jan-16,"18,450.98","18,818.58","18,951.12","18,394.43",1.40B,-3.06%
05-Jan-16,"18,374.00","18,398.76","18,547.38","18,327.52",1.32B,-0.42%
06-Jan-16,"18,191.32","18,410.57","18,469.38","18,064.30",1.42B,-0.99%
07-Jan-16,"17,767.34","18,139.77","18,172.04","17,767.34",1.68B,-2.33%
08-Jan-16,"17,697.96","17,562.23","17,975.31","17,509.64",1.84B,-0.39%
12-Jan-16,"17,218.96","17,470.93","17,546.57","17,184.78",1.78B,-2.71%
13-Jan-16,"17,715.63","17,449.12","17,717.75","17,414.55",1.46B,2.88%
14-Jan-16,"17,240.95","17,384.93","17,393.83","16,944.41",1.78B,-2.68%
15-Jan-16,"17,147.11","17,522.46","17,597.87","17,057.60",1.73B,-0.54%
18-Jan-16,"16,955.57","16,826.93","17,037.26","16,665.05",1.57B,-1.12%
19-Jan-16,"17,048.37","16,902.29","17,088.31","16,812.65",1.54B,0.55%
20-Jan-16,"16,416.19","17,030.28","17,031.32","16,387.61",1.78B,-3.71%
21-Jan-16,"16,017.26","16,466.86","16,734.58","16,017.26",2.28B,-2.43%
22-Jan-16,"16,958.53","16,336.72","16,993.96","16,332.45",1.87B,5.88%
25-Jan-16,"17,110.91","17,145.81","17,208.24","16,922.21",1.57B,0.90%
26-Jan-16,"16,708.90","16,833.13","16,839.52","16,652.26",1.47B,-2.35%
27-Jan-16,"17,163.92","16,949.19","17,242.27","16,947.95",1.55B,2.72%
28-Jan-16,"17,041.45","17,059.84","17,235.44","16,942.13",1.41B,-0.71%
29-Jan-16,"17,518.30","17,155.06","17,638.93","16,767.09",2.94B,2.80%
01-Feb-16,"17,865.23","17,699.60","17,905.37","17,666.48",2.45B,1.98%
02-Feb-16,"17,750.68","17,716.52","17,864.70","17,684.66",2.01B,-0.64%
03-Feb-16,"17,191.25","17,497.41","17,515.68","17,080.57",2.28B,-3.15%
04-Feb-16,"17,044.99","17,071.11","17,209.56","16,941.88",2.39B,-0.85%
05-Feb-16,"16,819.59","16,790.53","16,893.12","16,627.80",2.60B,-1.32%
08-Feb-16,"17,004.30","16,620.91","17,099.01","16,552.30",2.00B,1.10%
09-Feb-16,"16,085.44","16,666.79","16,668.70","16,025.94",2.28B,-5.40%
10-Feb-16,"15,713.39","16,127.86","16,163.03","15,429.99",2.83B,-2.31%
12-Feb-16,"14,952.61","15,426.27","15,437.22","14,865.77",3.41B,-4.84%
15-Feb-16,"16,022.58","15,248.38","16,155.10","15,243.88",2.32B,7.16%
16-Feb-16,"16,054.43","15,849.47","16,341.56","15,809.58",2.25B,0.20%
17-Feb-16,"15,836.36","16,035.35","16,214.46","15,632.12",2.04B,-1.36%
18-Feb-16,"16,196.80","16,138.08","16,337.59","16,118.80",1.88B,2.28%
19-Feb-16,"15,967.17","16,050.40","16,050.46","15,799.35",1.62B,-1.42%
22-Feb-16,"16,111.05","15,851.39","16,187.40","15,816.83",1.40B,0.90%
23-Feb-16,"16,052.05","16,230.38","16,350.38","16,001.19",1.65B,-0.37%
24-Feb-16,"15,915.79","15,851.13","16,006.45","15,753.77",1.52B,-0.85%
25-Feb-16,"16,140.34","15,983.47","16,218.29","15,953.93",1.70B,1.41%
26-Feb-16,"16,188.41","16,311.52","16,472.50","16,188.41",1.47B,0.30%
29-Feb-16,"16,026.76","16,313.31","16,464.75","16,026.76",1.64B,-1.00%
01-Mar-16,"16,085.51","16,013.00","16,099.42","15,857.37",1.52B,0.37%
02-Mar-16,"16,746.55","16,391.48","16,815.25","16,388.92",1.75B,4.11%
03-Mar-16,"16,960.16","16,695.78","16,962.95","16,691.94",2.01B,1.28%
04-Mar-16,"17,014.78","16,927.36","17,042.92","16,861.38",1.84B,0.32%
07-Mar-16,"16,911.32","17,024.64","17,026.25","16,894.58",1.59B,-0.61%
08-Mar-16,"16,783.15","16,889.48","16,909.79","16,570.22",1.83B,-0.76%
09-Mar-16,"16,642.20","16,625.59","16,706.25","16,494.80",1.61B,-0.84%
10-Mar-16,"16,852.35","16,811.00","16,887.60","16,713.13",1.36B,1.26%
11-Mar-16,"16,938.87","16,610.18","17,015.30","16,575.75",1.98B,0.51%
14-Mar-16,"17,233.75","17,155.52","17,291.35","17,149.21",1.41B,1.74%
15-Mar-16,"17,117.07","17,219.89","17,279.30","17,042.56",1.44B,-0.68%
16-Mar-16,"16,974.45","16,981.36","17,102.45","16,950.84",1.26B,-0.83%
17-Mar-16,"16,936.38","17,107.60","17,253.03","16,814.84",1.53B,-0.22%
18-Mar-16,"16,724.81","16,883.75","16,920.91","16,613.69",1.56B,-1.25%
22-Mar-16,"17,048.55","16,937.31","17,107.80","16,851.21",1.36B,1.94%
23-Mar-16,"17,000.98","17,066.27","17,142.08","16,964.31",1.05B,-0.28%
24-Mar-16,"16,892.33","16,979.39","17,041.16","16,843.99",1.42B,-0.64%
25-Mar-16,"17,002.75","16,949.53","17,026.14","16,889.40",1.27B,0.65%
28-Mar-16,"17,134.37","17,129.27","17,167.88","16,961.41",1.24B,0.77%
29-Mar-16,"17,103.53","16,985.28","17,137.20","16,948.43",1.17B,-0.18%
30-Mar-16,"16,878.96","17,078.03","17,078.03","16,875.91",1.31B,-1.31%
31-Mar-16,"16,758.67","16,997.14","17,033.65","16,758.67",1.57B,-0.71%
01-Apr-16,"16,164.16","16,719.56","16,719.56","16,113.01",1.78B,-3.55%
04-Apr-16,"16,123.27","16,087.76","16,238.51","16,029.50",1.45B,-0.25%
05-Apr-16,"15,732.82","16,044.23","16,066.18","15,698.55",1.58B,-2.42%
06-Apr-16,"15,715.36","15,727.70","15,828.61","15,612.91",1.50B,-0.11%
07-Apr-16,"15,749.84","15,739.26","15,871.10","15,636.21",1.46B,0.22%
08-Apr-16,"15,821.52","15,597.04","16,027.63","15,471.80",1.77B,0.46%
11-Apr-16,"15,751.13","15,761.57","15,778.74","15,525.49",1.30B,-0.44%
12-Apr-16,"15,928.79","15,719.24","15,963.03","15,693.61",1.47B,1.13%
13-Apr-16,"16,381.22","16,142.71","16,405.59","16,132.23",1.59B,2.84%
14-Apr-16,"16,911.05","16,629.83","16,911.05","16,602.17",1.75B,3.23%
15-Apr-16,"16,848.03","16,720.39","16,928.67","16,720.39",1.33B,-0.37%
18-Apr-16,"16,275.95","16,521.25","16,526.90","16,254.20",1.41B,-3.40%
19-Apr-16,"16,874.44","16,582.66","16,900.33","16,570.50",1.46B,3.68%
20-Apr-16,"16,906.54","17,053.83","17,099.36","16,870.73",1.44B,0.19%
21-Apr-16,"17,363.62","17,187.27","17,381.70","17,144.53",1.66B,2.70%
