Date,Price,Open,High,Low,Vol.,Change %
22-Apr-15,"7,028.24","7,062.93","7,092.34","6,997.15",809.07M,-0.49%
23-Apr-15,"7,053.67","7,028.24","7,055.15","6,995.79",736.40M,0.36%
24-Apr-15,"7,070.70","7,053.67","7,102.59","7,051.17",821.32M,0.24%
27-Apr-15,"7,103.98","7,070.70","7,122.74","7,025.27",700.79M,0.47%
28-Apr-15,"7,030.53","7,103.98","7,103.99","6,983.97",821.00M,-1.03%
29-Apr-15,"6,946.28","7,030.53","7,058.19","6,945.56",791.05M,-1.20%
30-Apr-15,"6,960.63","6,946.28","6,970.34","6,906.24",934.30M,0.21%
01-May-15,"6,985.95","6,960.63","6,995.41","6,919.39",863.40M,0.36%
05-May-15,"6,927.58","6,985.95","7,053.18","6,927.58",1.05B,-0.84%
06-May-15,"6,933.74","6,927.58","6,974.82","6,913.46",910.98M,0.09%
07-May-15,"6,886.95","6,933.74","6,933.74","6,810.05",973.56M,-0.67%
08-May-15,"7,046.82","6,886.95","7,046.82","6,885.79",1.43B,2.32%
11-May-15,"7,029.85","7,046.82","7,083.72","7,025.17",816.71M,-0.24%
12-May-15,"6,933.80","7,029.85","7,029.85","6,887.52",865.97M,-1.37%
13-May-15,"6,949.63","6,933.80","6,989.91","6,920.65",820.35M,0.23%
14-May-15,"6,973.04","6,949.63","6,977.93","6,884.63",622.17M,0.34%
15-May-15,"6,960.49","6,973.04","7,009.41","6,937.12",723.61M,-0.18%
18-May-15,"6,968.87","6,960.49","7,015.49","6,931.64",633.21M,0.12%
19-May-15,"6,995.10","6,968.87","7,011.35","6,968.87",801.43M,0.38%
20-May-15,"7,007.26","6,995.10","7,018.70","6,962.06",850.67M,0.17%
21-May-15,"7,013.47","7,007.26","7,026.01","6,994.26",582.84M,0.09%
22-May-15,"7,031.72","7,013.47","7,061.66","7,013.47",641.04M,0.26%
26-May-15,"6,948.99","7,031.72","7,039.55","6,930.28",692.15M,-1.18%
27-May-15,"7,033.33","6,948.99","7,054.14","6,948.62",668.80M,1.21%
28-May-15,"7,040.92","7,033.33","7,049.62","7,005.88",625.45M,0.11%
29-May-15,"6,984.43","7,040.92","7,069.93","6,967.92",1.21B,-0.80%
01-Jun-15,"6,953.58","6,984.43","7,037.58","6,942.66",715.73M,-0.44%
02-Jun-15,"6,928.27","6,953.58","6,972.25","6,872.12",891.35M,-0.36%
03-Jun-15,"6,950.46","6,928.27","6,985.69","6,901.79",722.28M,0.32%
04-Jun-15,"6,859.24","6,950.46","6,950.46","6,838.95",807.84M,-1.31%
05-Jun-15,"6,804.60","6,859.24","6,859.24","6,785.15",777.84M,-0.80%
08-Jun-15,"6,790.04","6,804.60","6,827.16","6,781.66",555.75M,-0.21%
09-Jun-15,"6,753.80","6,790.04","6,803.75","6,736.88",702.83M,-0.53%
10-Jun-15,"6,830.27","6,753.80","6,843.57","6,734.15",843.90M,1.13%
11-Jun-15,"6,846.74","6,830.27","6,870.19","6,807.29",699.56M,0.24%
12-Jun-15,"6,784.92","6,846.74","6,846.74","6,760.06",610.75M,-0.90%
15-Jun-15,"6,710.52","6,784.92","6,784.92","6,708.50",574.23M,-1.10%
16-Jun-15,"6,710.10","6,710.52","6,723.49","6,656.90",740.51M,-0.01%
17-Jun-15,"6,680.55","6,710.10","6,731.54","6,665.95",706.47M,-0.44%
18-Jun-15,"6,707.88","6,680.55","6,707.88","6,625.16",797.21M,0.41%
19-Jun-15,"6,710.45","6,707.88","6,759.29","6,691.82",1.27B,0.04%
22-Jun-15,"6,825.67","6,710.45","6,825.67","6,710.45",772.66M,1.72%
23-Jun-15,"6,834.87","6,825.67","6,856.49","6,825.67",598.08M,0.13%
24-Jun-15,"6,844.80","6,834.87","6,873.43","6,834.32",688.93M,0.15%
25-Jun-15,"6,807.82","6,844.80","6,869.04","6,798.80",675.60M,-0.54%
26-Jun-15,"6,753.70","6,807.82","6,807.82","6,731.13",613.76M,-0.79%
29-Jun-15,"6,620.48","6,753.70","6,753.70","6,598.64",786.02M,-1.97%
30-Jun-15,"6,520.98","6,620.48","6,620.75","6,520.98",909.53M,-1.50%
01-Jul-15,"6,608.59","6,520.98","6,637.34","6,520.98",814.01M,1.34%
02-Jul-15,"6,630.47","6,608.59","6,647.70","6,600.37",608.68M,0.33%
03-Jul-15,"6,585.78","6,630.47","6,630.75","6,572.46",462.88M,-0.67%
06-Jul-15,"6,535.68","6,585.78","6,585.78","6,506.71",629.53M,-0.76%
07-Jul-15,"6,432.21","6,535.68","6,543.80","6,432.21",789.93M,-1.58%
08-Jul-15,"6,490.70","6,432.21","6,515.06","6,430.36",941.35M,0.91%
09-Jul-15,"6,581.63","6,490.70","6,594.18","6,490.70",788.63M,1.40%
10-Jul-15,"6,673.38","6,581.63","6,687.57","6,581.63",720.75M,1.39%
13-Jul-15,"6,737.95","6,673.38","6,743.05","6,673.38",661.87M,0.97%
14-Jul-15,"6,753.75","6,737.95","6,753.75","6,710.62",595.32M,0.23%
15-Jul-15,"6,753.75","6,753.75","6,775.91","6,728.49",566.43M,0.00%
16-Jul-15,"6,796.45","6,753.75","6,805.14","6,752.09",605.23M,0.63%
17-Jul-15,"6,775.08","6,796.45","6,799.78","6,764.80",602.28M,-0.31%
20-Jul-15,"6,788.69","6,775.08","6,813.41","6,772.09",431.75M,0.20%
21-Jul-15,"6,769.07","6,788.69","6,800.13","6,758.75",573.51M,-0.29%
22-Jul-15,"6,667.34","6,769.07","6,769.07","6,653.39",714.92M,-1.50%
23-Jul-15,"6,655.01","6,667.34","6,711.49","6,644.85",651.24M,-0.18%
24-Jul-15,"6,579.81","6,655.01","6,684.81","6,573.96",664.74M,-1.13%
27-Jul-15,"6,505.13","6,579.81","6,589.48","6,495.67",686.74M,-1.13%
28-Jul-15,"6,555.28","6,505.13","6,569.45","6,505.13",730.87M,0.77%
29-Jul-15,"6,631.00","6,555.28","6,634.04","6,555.28",845.40M,1.16%
